key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun,img_link_webformatURL,img_link_previewURL
abdomen,mimba,FR -> KM,A,n. masc.,,mimba,mimba,,,https://pixabay.com/get/g6dbfbbdd8a6b5141296260767ef2d60b2793b8884bd38d5ce1494b793dffb3adfdd4d3c7df29cccca934b91306100bb74ede2bfc8282ce4a4c66d2981d4e806a_640.jpg,https://cdn.pixabay.com/photo/2018/01/01/01/56/yoga-3053488_150.jpg
abdomen; ventre; grossesse,mimba,KM -> FR,M,n. masc.,,mimba,mimba,,,https://pixabay.com/get/g12d442291c4f2d89dcb74b207cb139ace91e0cc2038afc748adfa0cce1d89cd45390e2fccf0e504c47df495c6c3f9f55265887b582c9b9451924c392a6107ba3_640.jpg,https://cdn.pixabay.com/photo/2016/06/04/01/45/belly-1434852_150.jpg
abeille,nyoshi,FR -> KM,A,n. fem.,nyoshi,nyoshi,nyoshi,nyoshi,1.0,https://pixabay.com/get/g59d28ab8e24c93d382e62cc5c9e294e0dc56cfbd671d779fa9c88312e756c67b51888c10e66c33451128d72b68cb65e6_640.png,https://cdn.pixabay.com/photo/2015/04/03/16/36/bee-705412_150.png
abject,-risifu,FR -> KM,A,adj.,-risifu,-risifu,,,,https://pixabay.com/get/gcf742db7ae70c6e6883238206a8965335fce900f4de191ebe9e8b655e7e9ff12ba5de6641ccd5764ed53aacf1a59a1d9733e503a835622b90e2ba8865536f3c7_640.png,https://cdn.pixabay.com/photo/2020/09/19/10/28/silhouette-5584100_150.png
abject; laid,-risifu,KM -> FR,R,adj.,-risifu,-risifu,,,,,
abjurer,rutaɗi (u-),FR -> KM,A,v. tra.,urutaɗi,,,,,,
abjurer (foi),kafiriha (u-),FR -> KM,A,v.,ukafiriha,,,,,,
ablation,mtsindzo,FR -> KM,A,n. fem.,mtsindzo,,,,,,
ablutions,udhu,FR -> KM,A,n. fem.,udhu,,udhu,,,https://pixabay.com/get/g470991cb8082224436a356440899213417a67030f9bc76d1d206ac9c78ed8da5d2dd55351a10c354dbf9cd2090ef68cb_640.jpg,https://cdn.pixabay.com/photo/2015/10/15/14/26/faucet-989442_150.jpg
ablutions (faire ses -),tawaza (u-),FR -> KM,A,v.,utawaza,utawaza,,,,https://pixabay.com/get/gdb1be5896209cff0b38ba7f1742956cf2da10cde791c610fafe336d0560a26b1245538b1f982a409daad5a71d0d672f3_640.jpg,https://cdn.pixabay.com/photo/2015/10/15/14/26/faucet-989442_150.jpg
aboiement,ndrasi,FR -> KM,A,n. masc.,ndrasi,,,,,https://pixabay.com/get/g9c50a2abb5734f09eb114be03398de1dd2b6fb8c2cb21b2759f28c632a16850ae2f47a99deb864ad2caf73fea0127f5c3b274c47fc21a77a6b687fcaa01c9394_640.jpg,https://cdn.pixabay.com/photo/2016/04/24/17/27/leaves-1350175_150.jpg
aboli (être -),laluha (u-),FR -> KM,A,v.,ulaluha,,,,,https://pixabay.com/get/gd4d70ed439862e3f65b2f44f5b71facd5403d3c591a5791cf21ff746db0502746f02c03f7332f811277cd1cf05711f743046b1b7ae61f2139c593c6d80bda035_640.jpg,https://cdn.pixabay.com/photo/2020/02/29/14/18/loss-4890196_150.jpg
abolir,lalua (u-),FR -> KM,A,v. tra.,ulalua,,,,,https://pixabay.com/get/g4526a303754c67dec40835168e3643f78a126e6e801364a7a6f154a2506aaa47bc757f979c2747565c6b3b35baf1a68f7df2cfa7071058ca97910a11e6437a4f_640.jpg,https://cdn.pixabay.com/photo/2020/02/29/14/18/loss-4890196_150.jpg
abolition,mlaluho,FR -> KM,A,n. fem.,mlaluho,mlaluho,mlaluho,mlaluho,1.0,https://pixabay.com/get/g53ca651eda0655ef4cd018e30cf48b9073ffd4af88fecba0c4a255316bb8cca802e026a20e1123dec06a6432d0afd605_640.jpg,https://cdn.pixabay.com/photo/2013/11/07/08/15/martinique-206916_150.jpg
abolition; dissolution,mlaluho,KM -> FR,M,n. fem.,mlaluho,mlaluho,mlaluho,mlaluho,1.0,,
abondance,utelele,FR -> KM,A,adj.,utelele,utelele,utelele,utelele,1.0,https://pixabay.com/get/g2a158184acc50c8c4d9e5c77420332adc461683d18f81e0e7da9538c5e24e81a4a49e2d786a484bc562b7ae8be6c1bef_640.jpg,https://cdn.pixabay.com/photo/2013/05/20/05/01/monument-112220_150.jpg
abondant,telele,FR -> KM,A,adj.,telele,telele,telele,telele,1.0,https://pixabay.com/get/g2152b501b9cecd6c5d22fc47aa5d1b3981de873a4b623ee88c430e55689a21009fc0e47f68b1b0c869947258e5929995_640.jpg,https://cdn.pixabay.com/photo/2013/05/20/05/01/monument-112220_150.jpg
abonder,ɓwerere (u-),FR -> KM,A,v.,(u-),,,,,https://pixabay.com/get/gd38a80c283502aba8b9c952a259091bbf1fbf3141375b1df4c3707ee70b639bd60460a1a08f78247b651ada0b8109b71_640.jpg,https://cdn.pixabay.com/photo/2013/05/20/05/01/monument-112220_150.jpg
abonnement,mpvio; malagidzo,FR -> KM,A,n. masc.,mpvio,malagidzo,,,,https://pixabay.com/get/ge5e6d6fb57d3a1f937953522ed9f5e0b839e8c9cd1511aeb92c1bdb0a7d93f473ebe27c3f8f81cb2663f3592776b4bffa3ae2a877f87d15d25cc7f4a0acc83c6_640.png,https://cdn.pixabay.com/photo/2020/07/15/21/04/subscribe-5408999_150.png
abonner,lagidza (u-),FR -> KM,A,v. tra.,,ulagidza,ulagidza,,,https://pixabay.com/get/g4e6e0727b49d031c9e2bd9b686c119f9c5383fb185a9d80b4fc26c77aed925e7b33c3c6021e328759c43cb9b90a57c11401fbe39d89a38a1336e7c637896979d_640.png,https://cdn.pixabay.com/photo/2020/07/15/21/04/subscribe-5408999_150.png
"abonner; confier, envoyer un message, faire dire à",lagidza (u-),KM -> FR,L,v. tra.,,ulagidza,ulagidza,,,,
abonné,mlagidza,FR -> KM,A,n. masc.,,mlagidza,,,,https://pixabay.com/get/g4956ccf5d478fe406dc321f199a29475dc3099c0fad8cd126bd86fd4b0e87fad119865dfcfbf06f35ef70d058aa1281984775be8fce9af0901e6046d28cfb0ed_640.png,https://cdn.pixabay.com/photo/2020/07/15/21/04/subscribe-5408999_150.png
aboyer,ra marasi (u-),FR -> KM,A,v. int.,marasi,,,,,https://pixabay.com/get/g7c826f137fcfd7e392bd9972366b1c8614b17a759e8a6deda0b1b1f90a43433b2522e5966b4fede272604066d97e4f968a0d7e566e93df8077841fb8718607c8_640.jpg,https://cdn.pixabay.com/photo/2016/04/24/17/27/leaves-1350175_150.jpg
abri,paya,FR -> KM,A,n. masc. n. masc.,paya,,,,,https://pixabay.com/get/gd3d85abefbb9d92de42e9b85ced2ddbaa302f7177deee5b1eceb10a7b5d1e373c716d66ce49b9236f78e85aa70dee5de8bd8678913f3a03c793a4f253a7c1833_640.jpg,https://cdn.pixabay.com/photo/2016/07/29/06/08/man-1550501_150.jpg
abri (du soleil ou de la pluie),mvuli,FR -> KM,A,n. fem.,mvuli,,,,,https://pixabay.com/get/gc5aa6ab3e21195428e73d055b7ffbf9884f7de85c453d50a52fc340294fe289885179b25bf539f0bf25f6982013f5bbb0170b7f5c456b142d1d5a8b8830d58a8_640.jpg,https://cdn.pixabay.com/photo/2016/07/29/06/08/man-1550501_150.jpg
abscence,mpuzo,FR -> KM,A,n. fem.,mpuzo,,,,,,
absolument,tamam,FR -> KM,A,adv.,tamam,,,,,https://pixabay.com/get/g4a158a6a0c192d99d0252ccc31b26d0e7840a22110ff958310b064de98aa20e5eeb05b1729f2be59f20870cb983438e657e5e481cd4199c398e2298a15ae7fb3_640.jpg,https://cdn.pixabay.com/photo/2021/08/29/15/44/woman-6583628_150.jpg
abécédaire (arabe),kurwasa,FR -> KM,A,n. masc.,kurwasa,,,,,,
abîmer,menya (u-),FR -> KM,A,v. tra.,umenya,umenya,umenya,,,https://pixabay.com/get/gda40ffdd3a1fe51a8a035c7f49f50125bc40d72c625f44d2a0c03ebdc088a24d022ba583b65c92412bf1fbe2eda886f61e403b5d2ad28422805db31058a5c472_640.jpg,https://cdn.pixabay.com/photo/2017/12/19/09/39/good-night-3027664_150.jpg
abîmer (s'-),menyeha (u-),FR -> KM,A,v. tra.,umenyeha,,umenyeha,,,https://pixabay.com/get/g50c018b8d4fb5a606f9a02582e85dc42af84614aa8c9b8de991a558071f15901330c1812cae5b55b557870ab58a69b8af9cc4aa2b0280837b51852c49cb050f9_640.jpg,https://cdn.pixabay.com/photo/2017/12/19/09/39/good-night-3027664_150.jpg
abîmer (s'-); tomber en panne,menyeha (u-),KM -> FR,M,v. tra.,umenyeha,,umenyeha,,,https://pixabay.com/get/g758592710182cabdb9031fb104333c9ac02ef62ebc5ce99410adbca77c721af999e33cebda281662aaf5846299de1412cc8eeb3efde64787293ad8d0769583d5_640.jpg,https://cdn.pixabay.com/photo/2017/12/19/09/39/good-night-3027664_150.jpg
abîmer; détruire,menya (u-),KM -> FR,M,v. tra.,umenya,umenya,umenya,,,,
accabler de reproches,kinyushia (u-),FR -> KM,A,v. loc.,,,ukinyushia,,,,
accepter,kiri (u-); kuɓali (u-),FR -> KM,A,v. tra.,ukuɓali,ukuɓali,ukuɓali,ukuɓali,1.0,https://pixabay.com/get/g204357e8ceef1a0923dc0d7a64d25786331c3a29de0973d4bf212e5907094708b55b4b49a80692f49aead8ae9b076307_640.jpg,https://cdn.pixabay.com/photo/2014/08/20/15/35/thumb-422558_150.jpg
accepter en dépit de,turuku (u-),FR -> KM,A,v. tra.,uturuku,,uturuku,,,https://pixabay.com/get/g5a544d33174dfb9d39653a95953cc3bf04c3adade2d154a7d814c5237f8169917e28e063995e532242c1eb21ed198336f45b49c7900e50a4c7ef5a33518da9ae_640.jpg,https://cdn.pixabay.com/photo/2016/01/29/15/24/dog-1168123_150.jpg
accepter en dépit de; renoncer,turuku (u-),KM -> FR,T,v. tra.,uturuku,,uturuku,,,,
accepter; être possible; fonctionner,kiri (u-),KM -> FR,K,v. tra.,ukuɓali,ukuɓali,ukuɓali,ukuɓali,1.0,,
accident,adjali,FR -> KM,A,n. masc.,adjali,,adjali,,,https://pixabay.com/get/ga4f8bd1bc11c5d19dfc23615e437f5dc2f7b49ddc64979df75943ee0d819702e58ccd10fdff5e22d1596e0c65a4e4a1e_640.jpg,https://cdn.pixabay.com/photo/2014/06/12/14/35/zombie-367517_150.jpg
acclimater,zweza (u-),FR -> KM,A,v. tra.,uzweza,,,,,https://pixabay.com/get/g726fc4f80b28213b58a13764b8c6837482d859631fe001dcf7dbc4a290f2ab4593f9eb40ccb2e02f30ad318d5bbbb64ca8eae4ccb07a460fb1c204f68bcadabe_640.jpg,https://cdn.pixabay.com/photo/2020/04/01/15/33/air-4991613_150.jpg
accompagnement,mɗungano,FR -> KM,A,n. masc.,mɗungano,,,,,https://pixabay.com/get/gcf13e793bab773fd48a072e9d7d823984b164c51588c881239f0444cbee0ef34cb6fca96a11333bb57146387989e551311fc000e9d78dd69d48d8f4e58e21323_640.jpg,https://cdn.pixabay.com/photo/2021/07/04/14/47/smartphone-6386599_150.jpg
accompagnement (protéiné d'un plat),ireo; shireo,FR -> KM,A,n. masc.,ireo,,shireo,,,https://pixabay.com/get/ga118219878546c2773c5e80ca8eab86d643723d5c616d58f7ae82b4438a4774be4577cfba91b4bec78323e114ea68e614c9d79fa770df415eb53291e67502992_640.jpg,https://cdn.pixabay.com/photo/2021/07/04/14/47/smartphone-6386599_150.jpg
accompagner,ɗungamana (u-),FR -> KM,A,v.,,uɗungamana,uɗungamana,,,https://pixabay.com/get/g0ad484ccd3c1f1c43c14cb2b428a650d003b2bdec6bba97040dc3ec8f21fbb09ce2b1395492c456a26c131818e122f6a_640.jpg,https://cdn.pixabay.com/photo/2014/08/20/15/35/thumb-422558_150.jpg
accomplir,renɗa (u-); rendra (u-),FR -> KM,A,v.,urenɗa,urendra,urendra,urenɗa,,https://pixabay.com/get/gbdb02cac068eb642b46b4a2aa0d8c82efde18f9723da9c8d36c8d777f67d0f0d48ed192562bd6c9aee9b990452bdfc64f10e8aae08bef051dda97f5c195517d4_640.png,https://cdn.pixabay.com/photo/2018/01/12/16/16/growth-3078543_150.png
accord,mwafaka,FR -> KM,A,n. masc.,mwafaka,,mwafaka,,,https://pixabay.com/get/g7d0dc58223d65addefb683c9a4911149ddcf53ed025249e9818a1b9f1d3dec66b5ea225b7d3e568c2901b2a561f53988e64f2bc75f42659cefc98b799450b044_640.jpg,https://cdn.pixabay.com/photo/2016/09/08/21/09/piano-1655558_150.jpg
accorder Sa clémence (Dieu),rehemu (u-),FR -> KM,A,v.,urehemu,urehemu,urehemu,urehemu,1.0,,
accoster,pahua (u-),FR -> KM,A,v.,upahua,,upahua,,,https://pixabay.com/get/g914d014eaaaab0d31719efb29374debb027e655dc2aa5ed3316b3608f227263bb04cff5e1f2a7a5c4490898aa5455986d2273ebf60bb55738f0181643ad8758e_640.png,https://cdn.pixabay.com/photo/2017/08/22/16/53/salute-2669666_150.png
accouchement,uzazi; udzazi; mzao,FR -> KM,A,n. masc.,uzazi,,udzazi,,,https://pixabay.com/get/g6e710b6451a32609f4e9a1ab887ae562858b9d25dfbea51c440b44321e1d5c907bf5746a56c1f8b21d86b8dcd1a20ad5_640.jpg,https://cdn.pixabay.com/photo/2015/07/10/21/00/hospital-840135_150.jpg
accoucher,zaya (u-); dzaa (u-),FR -> KM,A,v.,uzaya,,udzaa,,,https://pixabay.com/get/g4d637944e803cbcdfc54e7e1dba99b7d1f0855b291b0cd8280f9b900e6be8767356be5f8ab5ec77efb072bbbbbde47c1_640.jpg,https://cdn.pixabay.com/photo/2015/07/10/21/00/hospital-840135_150.jpg
accoucheuse,mzalisi,FR -> KM,A,n. fem.,mzalisi,,,,,https://pixabay.com/get/g155747a658465be193e0f2362dd64962048fd1454bcbdccad888645e51f9f4cb068bbee4bb3411f0d5c81e41d3abded1_640.jpg,https://cdn.pixabay.com/photo/2015/07/10/21/00/hospital-840135_150.jpg
accoupler,tseleya (u-); heana (u-),FR -> KM,A,v. tra.,utseleya,,uheana,,,https://pixabay.com/get/ga19ee8c6006df699f7fe662df5fc281becb7c6b3d7683c9b9dc1b9effe9acbaaac5d6fb433db2066591ece3c2be05062ddc0bf813093e425f220ad6d7175c2c7_640.jpg,https://cdn.pixabay.com/photo/2015/11/23/05/14/butterflies-1057768_150.jpg
accoupler (faire s'-),tselesa (u-),FR -> KM,A,v.,utselesa,,,,,https://pixabay.com/get/gf36a9b5d97e713c5dc1a141d115e522549ad52629858aaec017748e6e1fb1bc66597dc66eb442b9c1ca87dea44a066c65c710f4fbe9cde781e2b76ff6441136f_640.jpg,https://cdn.pixabay.com/photo/2015/11/23/05/14/butterflies-1057768_150.jpg
accoutrement,mvao; mpindrio,FR -> KM,A,n. masc.,mvao,mpindrio,,,,https://pixabay.com/get/g4e1628a566b20b6d0382d626192ff3c43951391ecccc3caff8b92fa72919d9a72e48173d1611ee2f13cbe06464cda762d0fdcbe09b57300b160377e003f85eac_640.jpg,https://cdn.pixabay.com/photo/2020/02/28/10/44/shoes-4887100_150.jpg
accoutrement; habillement,mvao,KM -> FR,M,n. masc.,mvao,mpindrio,,,,,
accrocher,lemɓeza (u-); lembedza (u-),FR -> KM,A,v.,ulemɓeza,,(u-),,,https://pixabay.com/get/g1d2b05986be8e4bd9b24101b12f4b9812de8b93056f65927c6ad27ec12b6507cb20a8b2138d75bbee19255e4b580fd7162a1b6c119851ddc28caad874b41e294_640.jpg,https://cdn.pixabay.com/photo/2021/01/01/16/07/clouds-5879037_150.jpg
accroître,ziɗisha (u-),FR -> KM,A,v. tra.,uziɗisha,uziɗisha,uziɗisha,uziɗisha,1.0,https://pixabay.com/get/gfc838391ee9feaf8a256bac67b8adc4ec5ee0faafb3e220c663dfefe4f5ff36880d6fb9506185bb0d994e5906d0d0bdbac3ca15d025619f8e5d27baffdc34c47_640.jpg,https://cdn.pixabay.com/photo/2019/12/22/23/51/brain-4713529_150.jpg
accueillir,kariɓisha (u-); lahiki (u-); vahua (u-); kariɓisa (u-),FR -> KM,A,v.,ulahiki,ulahiki,ulahiki,ulahiki,1.0,https://pixabay.com/get/g9f6298efe328080a75f28b4f6f304bde69cd8b40b74e8a06e43fab3f450d14e76c11d3ee571ed0ce1c8614e642adff37efe215ea5b3245d04fc4af55f4da787b_640.png,https://cdn.pixabay.com/photo/2020/04/03/06/35/work-4997565_150.png
accueillir (avec respect),yezi (u-),FR -> KM,A,v.,,,,uyezi,,https://pixabay.com/get/g8c32c607265ce736fec6093e81b3afdf251c3af3fc29fc8a3e9fb7f7c304e472904d24d0317b80600e4e961a900ac8f44767f1d5a4a01f721f40ead5e75d412c_640.png,https://cdn.pixabay.com/photo/2020/04/03/06/35/work-4997565_150.png
accueillir; servir le repas; décharger un véhicule,kariɓisha (u-),KM -> FR,K,v.,ulahiki,ulahiki,ulahiki,ulahiki,1.0,,
accumuler,angulidza (u-),FR -> KM,A,v.,,hwangulidza,,,,https://pixabay.com/get/gb92cd6b22064bd6b7383c4e5c43d0459f153d981f35395fcfe41b91df713866dcc636e57f11c15088b997cd9ed4b47df01677b4e7b4766f842fb97058805d06d_640.jpg,https://cdn.pixabay.com/photo/2017/09/08/18/20/garbage-2729608_150.jpg
accusation,tuhuma,FR -> KM,A,n. fem.,tuhuma,tuhuma,,,,https://pixabay.com/get/g4f22cc7e96745972a9b70dabc4331b9bbbf3414b27b0077fc1bc20a6642bef593d73356533bd21273ae44de40b1b4f727c1f204a58baa905f72d222db00aeb50_640.jpg,https://cdn.pixabay.com/photo/2017/07/25/22/54/lego-2539844_150.jpg
accuser,tuhumu (u-); swania (u-); kadzia (u-),FR -> KM,A,v. tra.,utuhumu,utuhumu,ukadzia,,,https://pixabay.com/get/gb012d92a081702878566e382db4f61233eb07fee6b071e495d572bbdbccc90fa1c4ce712a258031a9a02e69c95be998920fd38ccc97b4ad166eaec8453eebf45_640.jpg,https://cdn.pixabay.com/photo/2017/07/25/22/54/lego-2539844_150.jpg
accélérer,harakisha (u-),FR -> KM,A,v.,uharakisha,uharakisha,uharakisha,uharakisha,1.0,https://pixabay.com/get/gefd2eee864f0d6210a727faa8eae5c42f2685c56af81c9785c1b65bbecc74efe058d8f8131999df67826f0178e6aa81ad50e2f4f7d8c43c6caea945e97af11f1_640.jpg,https://cdn.pixabay.com/photo/2015/12/07/10/24/go-kart-1080492_150.jpg
achard,ancari; ncari; cari,FR -> KM,A,n. masc.,ancari,ncari,cari,ncari,,https://pixabay.com/get/ge1a9ca59005b8e52b9c5f69e95611a8868e07e16a92caf9d2399350e222fef3011e97adc55c5683ebd5fc6e8f8786af9_640.jpg,https://cdn.pixabay.com/photo/2014/02/22/12/32/lac-achard-272017_150.jpg
acharnement,ɓidia,FR -> KM,A,n. masc.,ɓidia,ɓidia,ɓidia,,,https://pixabay.com/get/g6925d9c0008d0b72d184a1c29e59e1521a639ee8e7c8d52224a789af2f6ea6becaff9726afe50024ee23074c5e3f078c033d03cfbd2b8e5194cf2906ffd282c5_640.png,https://cdn.pixabay.com/photo/2019/02/04/08/38/pixel-cells-3974182_150.png
acharner à,fanya ɓiɗia (u-),FR -> KM,A,v. tra.,ɓiɗia,ɓiɗia,ɓiɗia,ɓiɗia,1.0,https://pixabay.com/get/g5f184b95621651044ca48c552efbc0d4ebcf861600457a7518332373cd215d5135ace4a760f0f00da3bc884f0ff5cf5b5ba3ca33656663fae5bca26444bd25e1_640.png,https://cdn.pixabay.com/photo/2019/02/04/08/38/pixel-cells-3974182_150.png
acharné (pers.),mpviavu,FR -> KM,A,n. masc.,mpviavu,,,,,https://pixabay.com/get/gae3eac0c6bd89e866ded858f71e3905b41041d63cc9275cddb82bcb320dc63e8e915ca707b58161fe11ce779290961ebfc3d187b80bf10eba120888497fce280_640.png,https://cdn.pixabay.com/photo/2019/02/04/08/38/pixel-cells-3974182_150.png
achat,mhulo; ununuzi,FR -> KM,A,n. masc.,mhulo,ununuzi,,,,https://pixabay.com/get/gefd0a2a61b1d6c45b47d60c5bd568e80cbf550d83dc3e411bc162cca38056348960a41fa88a0d93faea246ea4c6a797de1aa4061be88080716a9f65bd07fbfe3_640.jpg,https://cdn.pixabay.com/photo/2017/07/10/23/49/club-2492011_150.jpg
acheter,hula (u-); nunua (u-),FR -> KM,A,v. tra.,uhula,uhula,uhula,uhula,1.0,https://pixabay.com/get/g2b35f8cc9dafd52b4aaf7a5ced7ca44a7dbb740de99536dc25c69a59cf1bc62b74c05492de8bd2c4f498d25bca036d01248bb8355c744cd270c2e442c43f386f_640.jpg,https://cdn.pixabay.com/photo/2017/09/07/08/54/money-2724241_150.jpg
acheter pour,nunulia (u-),FR -> KM,A,v.,,,ununulia,,,https://pixabay.com/get/g0a21f1908dc131d89a26595dc66306d5b024487415f8d44f43715d14dcc6fc1d2b4b5b19096f8e2b6bffa071c02c475c4b879d0bce18cfc794470dacf81499ef_640.jpg,https://cdn.pixabay.com/photo/2019/06/15/16/06/online-4275963_150.jpg
acheteur,mnunuzi,FR -> KM,A,n. masc.,,,mnunuzi,mnunuzi,,https://pixabay.com/get/g207c0d343ea7d4dc686d41248f92aa26ad8c7796122b9fb7b954fc4729b22a2671817580bb6726350f746ef20e112646730e31f39d30f795066938304048238b_640.jpg,https://cdn.pixabay.com/photo/2019/08/26/08/12/people-4431082_150.jpg
achever,malidza (u-),FR -> KM,A,v.,,umalidza,umalidza,umalidza,,https://pixabay.com/get/g5f765dc382015503eddf638a12b7d300956653e3480fac36a7c6999e466abc4d5d9099bdd8d7ea57d5f34dfe19052c3d4fe6124cb69f2604a8266d8ef4221b53_640.jpg,https://cdn.pixabay.com/photo/2019/02/03/11/09/woman-3972345_150.jpg
acide,nkali,FR -> KM,A,n. masc.,,nkali,,,,https://pixabay.com/get/g7ffe11b9f6409c919f2f1fedeb1d2b5918096430edbb6ad3c8409a566d3adbf0a52810e1967570f95a73cb2849aadee413abddbc5157c06ffeef4402f68ce2d3_640.jpg,https://cdn.pixabay.com/photo/2017/07/07/12/31/lime-2481346_150.jpg
acte,itrenɗwa,FR -> KM,A,n. masc.,itrenɗwa,,,,,https://pixabay.com/get/g0ed9e4b326f7280aecededb45fc947c8fd330e65f6047ffd13adb722f377ebd4a394609e4392448150193e833e3d2c6f_640.jpg,https://cdn.pixabay.com/photo/2015/09/18/15/48/woman-945822_150.jpg
acte de mariage (devant le cadi),mafungidzo,FR -> KM,A,n. comp.,,,mafungidzo,,,https://pixabay.com/get/ga63f69e25b15ebc9f20a9f6854adb4406abdb9b7caa0fcb6d7434b1b01df56cac4b23cf879bdbd86a8a2c280f4d5f678005926bf0536550ef4c0e4074ac9bc41_640.jpg,https://cdn.pixabay.com/photo/2020/04/28/19/21/nostalgia-5106057_150.jpg
acte; action; verbe (grammaire),itrenɗwa,KM -> FR,I,n. masc.,itrenɗwa,,,,,,
actif (pers.),mtarufu,FR -> KM,A,n. masc.,mtarufu,,,,,https://pixabay.com/get/gb75bb978533541105797070249f17134790d653b252dbe69426741991a2e0df65fafeff47a14840225e19468a7c654fd_640.jpg,https://cdn.pixabay.com/photo/2014/12/16/22/25/sunset-570881_150.jpg
