key_fr,key_km,scrap_mode,scrap_letter,type,dialect_shiNgazidja,dialect_shiNdzuani,dialect_shiMaore,dialect_shiMwali,dialect_commun
accepter; être possible; fonctionner,kiri (u-),KM -> FR,K,v. tra.,ukuɓali,ukuɓali,ukuɓali,ukuɓali,1.0
accident,adjali,FR -> KM,A,n. masc.,adjali,,adjali,,
acclimater,zweza (u-),FR -> KM,A,v. tra.,uzweza,,,,
accompagnement,mɗungano,FR -> KM,A,n. masc.,mɗungano,,,,
accompagnement (protéiné d'un plat),ireo; shireo,FR -> KM,A,n. masc.,ireo,,shireo,,
accompagner,ɗungamana (u-),FR -> KM,A,v.,,uɗungamana,uɗungamana,,
accomplir,renɗa (u-); rendra (u-),FR -> KM,A,v.,urenɗa,urendra,urendra,urenɗa,
accord,mwafaka,FR -> KM,A,n. masc.,mwafaka,,mwafaka,,
accorder Sa clémence (Dieu),rehemu (u-),FR -> KM,A,v.,urehemu,urehemu,urehemu,urehemu,1.0
accoster,pahua (u-),FR -> KM,A,v.,upahua,,upahua,,
accouchement,uzazi; udzazi; mzao,FR -> KM,A,n. masc.,uzazi,,udzazi,,
accoucher,zaya (u-); dzaa (u-),FR -> KM,A,v.,uzaya,,udzaa,,
accoucheuse,mzalisi,FR -> KM,A,n. fem.,mzalisi,,,,
accoupler,tseleya (u-); heana (u-),FR -> KM,A,v. tra.,utseleya,,uheana,,
accoupler (faire s'-),tselesa (u-),FR -> KM,A,v.,utselesa,,,,
accoutrement,mvao; mpindrio,FR -> KM,A,n. masc.,mvao,mpindrio,,,
accoutrement; habillement,mvao,KM -> FR,M,n. masc.,mvao,mpindrio,,,
accrocher,lemɓeza (u-); lembedza (u-),FR -> KM,A,v.,ulemɓeza,,(u-),,
accroître,ziɗisha (u-),FR -> KM,A,v. tra.,uziɗisha,uziɗisha,uziɗisha,uziɗisha,1.0
accueillir,kariɓisha (u-); lahiki (u-); vahua (u-); kariɓisa (u-),FR -> KM,A,v.,ulahiki,ulahiki,ulahiki,ulahiki,1.0
accueillir (avec respect),yezi (u-),FR -> KM,A,v.,,,,uyezi,
accueillir; servir le repas; décharger un véhicule,kariɓisha (u-),KM -> FR,K,v.,ulahiki,ulahiki,ulahiki,ulahiki,1.0
accumuler,angulidza (u-),FR -> KM,A,v.,,hwangulidza,,,
accusation,tuhuma,FR -> KM,A,n. fem.,tuhuma,tuhuma,,,
accuser,tuhumu (u-); swania (u-); kadzia (u-),FR -> KM,A,v. tra.,utuhumu,utuhumu,ukadzia,,
accélérer,harakisha (u-),FR -> KM,A,v.,uharakisha,uharakisha,uharakisha,uharakisha,1.0
achard,ancari; ncari; cari,FR -> KM,A,n. masc.,ancari,ncari,cari,ncari,
acharnement,ɓidia,FR -> KM,A,n. masc.,ɓidia,ɓidia,ɓidia,,
acharner à,fanya ɓiɗia (u-),FR -> KM,A,v. tra.,ɓiɗia,ɓiɗia,ɓiɗia,ɓiɗia,1.0
acharné (pers.),mpviavu,FR -> KM,A,n. masc.,mpviavu,,,,
achat,mhulo; ununuzi,FR -> KM,A,n. masc.,mhulo,ununuzi,,,
acheter,hula (u-); nunua (u-),FR -> KM,A,v. tra.,uhula,uhula,uhula,uhula,1.0
acheter pour,nunulia (u-),FR -> KM,A,v.,,,ununulia,,
acheteur,mnunuzi,FR -> KM,A,n. masc.,,,mnunuzi,mnunuzi,
achever,malidza (u-),FR -> KM,A,v.,,umalidza,umalidza,umalidza,
acide,nkali,FR -> KM,A,n. masc.,,nkali,,,
acte,itrenɗwa,FR -> KM,A,n. masc.,itrenɗwa,,,,
acte de mariage (devant le cadi),mafungidzo,FR -> KM,A,n. comp.,,,mafungidzo,,
acte; action; verbe (grammaire),itrenɗwa,KM -> FR,I,n. masc.,itrenɗwa,,,,
actif (pers.),mtarufu,FR -> KM,A,n. masc.,mtarufu,,,,
action,itrenɗwa; shitrenɗwa,FR -> KM,A,n. masc.,itrenɗwa,shitrenɗwa,,shitrenɗwa,
activer (qqun),surusha (u-),FR -> KM,A,v.,usurusha,,,,
acéré,uhali,FR -> KM,A,adj. part. pass.,uhali,,uhali,,
addition (opération arithmétique),mdjimliso hisaɓu,FR -> KM,A,n. fem.,hisaɓu,,,,
adepte,muruɗi,FR -> KM,A,subst. adj.,muruɗi,,,,
adieu,kwaheri,FR -> KM,A,n. masc.,,kwaheri,kwaheri,kwaheri,
adieu; au-revoir,kwaheri,KM -> FR,K,n. masc.,,kwaheri,kwaheri,kwaheri,
adjectif,swifa,FR -> KM,A,n. masc.,swifa,swifa,swifa,,
adjectif; description,swifa,KM -> FR,S,n. masc.,swifa,swifa,swifa,,
admettre,kuɓali (u-),FR -> KM,A,v.,ukuɓali,ukuɓali,ukuɓali,ukuɓali,1.0
administrer,tawalia (u-),FR -> KM,A,v. tra.,utawalia,utawalia,,,
administrer (gérer),swarifu (u-),FR -> KM,A,v. tra.,uswarifu,,,,
administrer; coloniser; gouverner,tawalia (u-),KM -> FR,T,v. tra.,utawalia,utawalia,,,
administré (un),raîa,FR -> KM,A,n. masc.,raîa,,,,
administré (un); citoyen,raîa,KM -> FR,R,n. masc.,raîa,,,,
adolescence,ushaɓaɓi,FR -> KM,A,n. fem.,ushaɓaɓi,,ushaɓaɓi,,
adolescence (chez la femme),undru wa mararudjuu,FR -> KM,A,n. fem.,mararudjuu,,,,
adolescent,shaɓaɓi; fihitsi,FR -> KM,A,n. masc.,shaɓaɓi,shaɓaɓi,shaɓaɓi,shaɓaɓi,1.0
adolescent (chez la femme),mndru wa mararudjuu,FR -> KM,A,n. masc.,mararudjuu,,,,
adoptif,nkambo; nkaɓu,FR -> KM,A,adj.,nkaɓu,nkambo,nkambo,,
adoucir,lainisha (u-),FR -> KM,A,v. tra.,ulainisha,,,,
adoucir; rendre lisse,lainisha (u-),KM -> FR,L,v. tra.,ulainisha,,,,
adulte,guzi; mdaɗe,FR -> KM,A,n. masc.,guzi,mdaɗe,,,
adulte (être-),ɓalighi (u-),FR -> KM,A,loc. v.,uɓalighi,,uɓalighi,,
adultère,zina,FR -> KM,A,,,,,,
adéquat,mufiɗu,FR -> KM,A,adj.,mufiɗu,,,,
affaiblir,ledjea (u-),FR -> KM,A,v. tra.,uledjea,,,,
affaire,shuhuli; haɓari,FR -> KM,A,n. fem.,haɓari,haɓari,haɓari,haɓari,1.0
affaire; occupation; fête; festivité; mariage,shuhuli,KM -> FR,S,n. fem.,haɓari,haɓari,haɓari,haɓari,1.0
affairement,mbwiri,FR -> KM,A,n. masc.,mbwiri,,,,
affairer (s'-),shapiha (u-),FR -> KM,A,v.,,,na,,
affairer (s'-); occuper (s'-),shapiha (u-),KM -> FR,S,v.,,,na,,
affecter,sikitisha (u-),FR -> KM,A,v. tra.,usikitisha,usikitisha,usikitisha,usikitisha,1.0
affecter; chagriner,sikitisha (u-),KM -> FR,S,v. tra.,usikitisha,usikitisha,usikitisha,usikitisha,1.0
affection,nyandzo; mahaba,FR -> KM,A,n. fem.,nyandzo,nyandzo,nyandzo,,
affiche,ilani,FR -> KM,A,n. fem.,ilani,,,,
affliction,djuɗi,FR -> KM,A,n. masc.,djuɗi,,,,
affliction; chagrin; souci; tristesse,djuɗi,KM -> FR,D,n. masc.,djuɗi,,,,
affolement,uhafilifu,FR -> KM,A,n. masc.,uhafilifu,uhafilifu,,,
affoler,djusa muo (u-); hafilisha (u-),FR -> KM,A,v. tra.,uhafilasha,uhafilasha,uhafilasha,,
affoler; rendre fou (litt. lever le cœur),djusa muo (u-),KM -> FR,D,v. tra.,uhafilasha,uhafilasha,uhafilasha,,
affolé (pers.),mhafilifu,FR -> KM,A,n. masc.,mhafilifu,,,,
affolé (être -),hafiliha (u-),FR -> KM,A,v.,uhafiliha,uhafiliha,uhafiliha,,
affront,ziɓwii; ncamwa,FR -> KM,A,n. masc.,ziɓwii,,,,
affront (faire un -),nakisi (u-),FR -> KM,A,v. tra.,unakisi,,,,
affronter,kaɓili (u-); kingia (u-),FR -> KM,A,v. tra.,ukaɓili,ukaɓili,ukaɓili,ukaɓili,1.0
affronter; diriger vers; tourner vers,kaɓili (u-),KM -> FR,K,v. tra.,ukaɓili,ukaɓili,ukaɓili,ukaɓili,1.0
affronter; endurer,kingia (u-),KM -> FR,K,v. tra.,ukaɓili,ukaɓili,ukaɓili,ukaɓili,1.0
afin de,ile,FR -> KM,A,prep. loc.,,ile,ile,ile,
afin que,pare; ili,FR -> KM,A,loc. conj.,pare,pare,pare,pare,1.0
afin que; pour que,ili,KM -> FR,I,loc. conj.,pare,pare,pare,pare,1.0
africain,mmrima,FR -> KM,A,n. masc.,mmrima,mmrima,mmrima,mmrima,1.0
Afrique,Afrika; Murima,FR -> KM,A,n. fem.,Murima,Murima,Murima,Murima,1.0
Afrique du Sud,Afrika Ya Kusini,FR -> KM,A,n. prop.,Kusini,Kusini,Kusini,Kusini,1.0
agave,kitsani,FR -> KM,A,n. fem.,kitsani,,,,
agence,iɗara,FR -> KM,A,n. fem.,iɗara,,,,
agenouiller,sudjuɗia (u-),FR -> KM,A,v. tra.,usudjuɗia,,,,
agenouiller; prosterner,sudjuɗia (u-),KM -> FR,S,v. tra.,usudjuɗia,,,,
agent commercial du transport,disho,FR -> KM,A,n. masc.,disho,,,,
agent du palais,mna-djumɓe,FR -> KM,A,n. masc. loc.,mna-djumɓe,,,,
aggraver,zorosa (u-),FR -> KM,A,v.,uzorosa,,,,
agile,-hodari,FR -> KM,A,adj.,-hodari,-hodari,-hodari,-hodari,1.0
agile; fort; intelligent; habile,-hodari,KM -> FR,H,adj.,-hodari,-hodari,-hodari,-hodari,1.0
agitateur,pinɗuzi,FR -> KM,A,n. masc.,pinɗuzi,,,,
agitation,taharaki,FR -> KM,A,n.,,taharaki,taharaki,,
agiter,raraya (u-); tsuha (u-),FR -> KM,A,v. tra.,utsuha,,utsuha,utsuha,
agiter; secouer,tsuha (u-),KM -> FR,T,v. tra.,utsuha,,utsuha,utsuha,
agneau,mna-gondzi,FR -> KM,A,n. masc.,mna-gondzi,,,,
agoniser (en s'agitant de tout son corps),tapala (u-); ɓaɓada (u-),FR -> KM,A,v.,utapala,utapala,utapala,utapala,1.0
agoniser (en s'agitant de tout son corps); ballotter; surmener,tapala (u-),KM -> FR,T,v.,utapala,utapala,utapala,utapala,1.0
agrafe,kulabu,FR -> KM,A,n. fem.,,kulabu,kulabu,kulabu,
agrandir,letsa (u-),FR -> KM,A,v. tra.,uletsa,,,,
agrandir; tendre,letsa (u-),KM -> FR,L,v. tra.,uletsa,,,,
agresser,vamia (u-),FR -> KM,A,v. tra.,uvamia,,,,
agresseur,mvamizi,FR -> KM,A,n. masc.,mvamizi,,,,
agriculture,ɗima; ulimadji; ndrima,FR -> KM,A,n. fem.,ulimadji,,ndrima,,
agréable (goût),ladha; lada,FR -> KM,A,n.,ladha,ladha,ladha,,
agrément,lada,FR -> KM,A,n. masc.,,lada,lada,,
aide,msaâɗa; musada,FR -> KM,A,n. fem.,msaâɗa,,musada,,
aider,saiɗia (u-); umɓisa (u-); vidza (u-),FR -> KM,A,v. tra.,usaiɗia,usaiɗia,usaiɗia,usaiɗia,1.0
aider; assister,vidza (u-),KM -> FR,V,v. tra.,usaiɗia,usaiɗia,usaiɗia,usaiɗia,1.0
aider; secourir,umɓisa (u-),KM -> FR,U,v. tra.,usaiɗia,usaiɗia,usaiɗia,usaiɗia,1.0
aigle,khwezi; bunɗi,FR -> KM,A,n. masc.,bunɗi,,khwezi,,
aigle; épervier,khwezi,KM -> FR,K,n. masc.,bunɗi,,khwezi,,
aigrir,tahayari (u-),FR -> KM,A,v. tra.,utahayari,,,,
aiguille,sindzanu,FR -> KM,A,n. fem.,,sindzanu,,,
aiguiser,nua (u-); sudza (u-),FR -> KM,A,v.,unua,,,usudza,
aiguiser; limer,nua (u-),KM -> FR,N,v.,unua,,,usudza,
aile,piho; ɓawa,FR -> KM,A,n. fem.,ɓawa,ɓawa,ɓawa,ɓawa,1.0
ailleurs,ndze,FR -> KM,A,adv.,ndze,,,,
aimant,asmaku; simaku,FR -> KM,A,n. masc.,asmaku,simaku,,,
aimer,pvendza (u-); andza (u-); vendza (u-),FR -> KM,A,v.,upvendza,uvendza,uvendza,upvendza,
aimer l'un l'autre,vendzana (u-),FR -> KM,A,v. tra.,,uvendzana,uvendzana,,
aimer; faire exprès; préférer,pvendza (u-),KM -> FR,P,v.,upvendza,uvendza,uvendza,upvendza,
ainsi,yapvo; apvo,FR -> KM,A,adv.,yapvo,,,,
air,hawa,FR -> KM,A,n. masc.,hawa,hawa,hawa,hawa,1.0
air; atmosphère,hawa,KM -> FR,H,n. masc.,hawa,hawa,hawa,hawa,1.0
aisance,masterehe,FR -> KM,A,n. fem.,masterehe,masterehe,masterehe,masterehe,1.0
aise (être à l'-),sterehi (u-),FR -> KM,A,v.,usterehi,usterehi,usterehi,usterehi,1.0
aisselle,kapwa,FR -> KM,A,n. fem.,kapwa,,kapwa,,
ajourner,udza (u-),FR -> KM,A,v. tra.,,,uudza,,
ajourner; vendre; empêcher ; arrêter,udza (u-),KM -> FR,U,v. tra.,,,uudza,,
ajourné (être -),udziwa (u-),FR -> KM,A,v.,uudziwa,,,,
ajouter,endjeza (u-); engedza (u-),FR -> KM,A,v. tra.,hwendjeza,hwengedza,hwengedza,,
ajouter (s' -),engedzeha (u-),FR -> KM,A,v. tra.,,hwengedzeha,hwengedzeha,,
ajouter (s' -); élargir (s'-),engedzeha (u-),KM -> FR,E,v. tra.,,hwengedzeha,hwengedzeha,,
ajuster,linga (u-),FR -> KM,A,v.,,,ulinga,,
ajuster; assortir,linga (u-),KM -> FR,L,v.,,,ulinga,,
albinos,shema; shana,FR -> KM,A,n. masc.,shema,,,shema,
alcool,alikoli,FR -> KM,A,n. masc.,alikoli,,,,
algie,mshipa,FR -> KM,A,n. fem.,mshipa,mshipa,,,
algue,jani,FR -> KM,A,n. fem.,,,jani,,
aligner,ɗundzanya (u-); linganyisa (u-); linganisa (u-),FR -> KM,A,v. tra.,ulinganyisa,,ulinganisa,,
aligner (s'-),lingana (u-),FR -> KM,A,v. tra.,ulingana,ulingana,ulingana,ulingana,1.0
aligner; mettre en rang,linganisa (u-),KM -> FR,L,v. tra.,ulinganyisa,,ulinganisa,,
aliment,zio,FR -> KM,A,n. masc.,zio,,,zio,
aliment; nourriture,zio,KM -> FR,Z,n. masc.,zio,,,zio,
alimentation,mlo; mliso,FR -> KM,A,n. fem.,mlo,mlo,mlo,mlo,1.0
allaiter,hamsa (u-),FR -> KM,A,v. tra.,uhamsa,,,,
allemand,mDaci; shiDjeremani; muDjeremani,FR -> KM,A,n. masc.,mDaci,,shiDjeremani,,
aller,enɗa (u-); endra (u-),FR -> KM,A,v.,hwenɗa,hwendra,hwendra,hwenɗa,
aller de-ci de-là,fuhafuha (u-),FR -> KM,A,exp.,,,ufuhafuha,,
aller ensemble,zungulihana (u-),FR -> KM,A,v.,,,uzungulihana,,
"aller à pieds, marcher",endra (u-) ha mindru,FR -> KM,A,v.,,mindru,mindru,,
aller; marcher; fonctionner,enɗa (u-),KM -> FR,E,v.,hwenɗa,hwendra,hwendra,hwenɗa,
allergie,miko,FR -> KM,A,n. fem.,miko,miko,miko,miko,1.0
allonger,lala (u-); omboa (u-); ondza (u-),FR -> KM,A,v. pron.,ulala,ulala,ulala,ulala,1.0
allongé (être -),omboha (u-),FR -> KM,A,v.,,uomboha,,,
allongé (être -); dresser (se -),omboha (u-),KM -> FR,O,v.,,uomboha,,,
allons,narenɗe !,FR -> KM,A,v.,,,,,
allumage,mpatso,FR -> KM,A,n. masc.,mpatso,,,mpatso,
allumer,patsa (u-); vudza (u-),FR -> KM,A,v.,upatsa,upatsa,upatsa,upatsa,1.0
allumette,iɓiriti; shiɓiriti,FR -> KM,A,n. fem.,iɓiriti,shiɓiriti,,,
allumeur,ipatso,FR -> KM,A,n. masc.,ipatso,,,,
allumeur; interrupteur,ipatso,KM -> FR,I,n. masc.,ipatso,,,,
allure,djenɗo,FR -> KM,A,n. fem.,djenɗo,,,,
allé chercher,roshea (u-),FR -> KM,A,v.,uroshea,,,,
alléger,angupva (u-),FR -> KM,A,v. tra.,hwangupva,,,,
aloe vera,kononɗe; shizia mlili; konyoɗe,FR -> KM,A,n. masc. inv.,konyoɗe,mlili,,,
alors,wadjau; halafu,FR -> KM,A,adv,halafu,halafu,halafu,halafu,1.0
alors; puis,halafu,KM -> FR,H,adv,halafu,halafu,halafu,halafu,1.0
aloès,kitani,FR -> KM,A,n. masc. inv.,kitani,,kitani,,
alphabet,alifuɓe,FR -> KM,A,n. masc.,alifuɓe,alifuɓe,alifuɓe,alifuɓe,1.0
alphabétiser,alfuɓesha (u-),FR -> KM,A,v.,hwalfuɓesha,hwalfuɓesha,hwalfuɓesha,hwalfuɓesha,1.0
aluminium,garando,FR -> KM,A,n. masc.,,,,garando,
amadouer,fwaria (u-),FR -> KM,A,v.,ufwaria,ufwaria,,,
amande (gage de paiement),mau,FR -> KM,A,n. fem.,mau,,,,
amande (gage de paiement); amende,mau,KM -> FR,M,n. fem.,mau,,,,
amant(e),hawara,FR -> KM,A,subst.,hawara,,hawara,hawara,
amant(e); maîtresse,hawara,KM -> FR,H,subst.,hawara,,hawara,hawara,
amarante (folong),debere,FR -> KM,A,n. fem.,debere,,,,
amarrer,fungatsa (u-),FR -> KM,A,v.,ufungatsa,,,,
amas,pumɓa; ɓunku; gudza,FR -> KM,A,n. masc.,pumɓa,gudza,pumɓa,,
ambassadeur,ɓalozi,FR -> KM,A,n. masc.,ɓalozi,,,,
amberique,ntsandzi; tsandzi,FR -> KM,A,n. fem.,ntsandzi,,tsandzi,,
ambiance,shime; ɓashasha; mshago,FR -> KM,A,n. fem.,mshago,shime,shime,ɓashasha,
ambiguïté,tahaludhi,FR -> KM,A,n. fem.,,tahaludhi,,,
ambitionner,kusuɗi (u-),FR -> KM,A,v.,ukusuɗi,ukusuɗi,ukusuɗi,ukusuɗi,1.0
ambitionner; faire exprès,kusuɗi (u-),KM -> FR,K,v.,ukusuɗi,ukusuɗi,ukusuɗi,ukusuɗi,1.0
ambre,amɓari,FR -> KM,A,n. masc.,amɓari,,,,
ambrevade,ntsuzi; tsuzi,FR -> KM,A,n. fem.,ntsuzi,ntsuzi,tsuzi,ntsuzi,
amende,mau; shinye,FR -> KM,A,n. fem.,mau,shinye,,,
amende (divorce),kulô,FR -> KM,A,n. fem.,,,kulô,,
amener,ɓalia (u-),FR -> KM,A,v. tra.,uɓalia,,,,
amer,nyungo; nyongo,FR -> KM,A,adj.,nyungo,nyongo,nyongo,,
ami,mwandzani; munyawe,FR -> KM,A,n. masc.,mwandzani,mwandzani,mwandzani,mwandzani,1.0
amitié,uwandzani,FR -> KM,A,n. fem.,uwandzani,,uwandzani,,
amnistier,swamili (u-),FR -> KM,A,v. tra.,uswamili,,,,
amoindrir,shashiza (u-),FR -> KM,A,v. tra.,ushashiza,,,,
amollir,rembedza (u-),FR -> KM,A,v.,,urembedza,,,
amollir (s'-),rembea (u-),FR -> KM,A,v. tra.,,urembea,,,
amour,nyandzo; mahaba; pendo; mahaɓa; pendzo,FR -> KM,A,n. fem.,mahaɓa,mahaɓa,mahaɓa,mahaɓa,1.0
amour-propre,kirahi,FR -> KM,A,,,,,,
amour; affection,nyandzo,KM -> FR,N,n. fem.,mahaɓa,mahaɓa,mahaɓa,mahaɓa,1.0
amour; sentiment,mahaɓa,KM -> FR,M,n. fem.,mahaɓa,mahaɓa,mahaɓa,mahaɓa,1.0
amoureux,mhimbi,FR -> KM,A,n. masc. adj.,,mhimbi,,,
ampleur,upezo,FR -> KM,A,n. fem.,upezo,,,,
ampoule,taya; ampulu,FR -> KM,A,n. fem.,taya,taya,taya,taya,1.0
ampoule (aux mains),truhu,FR -> KM,A,n. masc.,truhu,,truhu,,
ampoule; lampe,taya,KM -> FR,T,n. fem.,taya,taya,taya,taya,1.0
amulette,hirizi,FR -> KM,A,n. masc.,hirizi,hirizi,,,
amusement,urembo,FR -> KM,A,n. masc.,,,urembo,,
amuser,sakariha (u-); angadza (u-),FR -> KM,A,v. tra.,usakariha,usakariha,usakariha,usakariha,1.0
Amérique,Marekani,FR -> KM,A,n. prop.,Marekani,Marekani,Marekani,Marekani,1.0
an,mwaha,FR -> KM,A,n. masc.,mwaha,mwaha,mwaha,mwaha,1.0
an; année; âge,mwaha,KM -> FR,M,n. masc.,mwaha,mwaha,mwaha,mwaha,1.0
anacardier,mbibo; mkoroshe,FR -> KM,A,,,,,,
anacardier ,mkoroshe,KM -> FR,M,,,,,,
analyse,mtsantsauo,FR -> KM,A,n. fem.,mtsantsauo,,,,
analyser,tafiti (u-); tsantsaua (u-),FR -> KM,A,v. tra.,utsantsaua,,,,
analyser; rechercher,tafiti (u-),KM -> FR,T,v. tra.,utsantsaua,,,,
ananas,mnanasi; nanasi,FR -> KM,A,n. fem.,mnanasi,nanasi,nanasi,nanasi,
ancre (navire),nanga,FR -> KM,A,n. fem.,nanga,nanga,nanga,,
ancêtre (d'une lignée),koo; djaɗi,FR -> KM,A,n. masc.,koo,,koo,,
anecdote,kiswa,FR -> KM,A,n. fem.,kiswa,,kiswa,,
anecdote; revanche; vengeance,kiswa,KM -> FR,K,n. fem.,kiswa,,kiswa,,
anesthésier,leza (u-),FR -> KM,A,v.,uleza,,,,
ange,ɗaika,FR -> KM,A,n. masc.,ɗaika,,ɗaika,,
anglais,shiNgereza; muNgereza,FR -> KM,A,adj. n. masc.,shiNgereza,shiNgereza,shiNgereza,shiNgereza,1.0
anglais (pers.),mngereza,FR -> KM,A,n. masc.,mngereza,,,mngereza,
angle,mbeɓe; mpemɓe,FR -> KM,A,n. masc.,mbeɓe,mpemɓe,,,
angle; coin,mbeɓe,KM -> FR,M,n. masc.,mbeɓe,mpemɓe,,,
angoisse,harara,FR -> KM,A,n. fem.,harara,,harara,harara,
anguille,mhungu; muhunga; mhunga,FR -> KM,A,n. fem.,mhungu,,muhunga,muhunga,
animal,inyama; shinyama,FR -> KM,A,n. masc.,inyama,shinyama,shinyama,shinyama,
animateur,mshangirizi,FR -> KM,A,n. masc.,mshangirizi,,,,
animateur de soirée,mɓasha,FR -> KM,A,n. masc.,mɓasha,,,,
animateur; supporteur,mshangirizi,KM -> FR,M,n. masc.,mshangirizi,,,,
animer,ɓasha (u-),FR -> KM,A,v. tra.,uɓasha,,,,
Anjouan,Ndzuani,FR -> KM,A,n. prop.,Ndzuani,Ndzuani,Ndzuani,Ndzuani,1.0
anjouanais,shiNdzuani; mNdzuani,FR -> KM,A,n. masc. adj.,shiNgazidja,shiNdzuani,,,
anneau,mbere,FR -> KM,A,n. masc.,mbere,,,,
anneau; bague,mbere,KM -> FR,M,n. masc.,mbere,,,,
annonce,mdjulizo,FR -> KM,A,n. fem.,mdjulizo,,,,
annulaire (doigt),sha ya pere,FR -> KM,A,n. masc.,,,pere,,
annulation,mfutro,FR -> KM,A,n. fem.,mfutro,mfutro,mfutro,mfutro,1.0
annuler,futra (u-),FR -> KM,A,v. tra.,ufutra,ufutra,ufutra,ufutra,1.0
