key_fr,key_km,scrap_mode,scrap_letter
activer (qqun),surusha (u-),FR -> KM,A
acéré,uhali,FR -> KM,A
addition (opération arithmétique),mdjimliso hisaɓu,FR -> KM,A
adepte,muruɗi,FR -> KM,A
adieu,kwaheri,FR -> KM,A
adieu; au-revoir,kwaheri,KM -> FR,K
adjectif,swifa,FR -> KM,A
adjectif; description,swifa,KM -> FR,S
admettre,kuɓali (u-),FR -> KM,A
administrer,tawalia (u-),FR -> KM,A
administrer (gérer),swarifu (u-),FR -> KM,A
administrer; coloniser; gouverner,tawalia (u-),KM -> FR,T
administré (un),raîa,FR -> KM,A
administré (un); citoyen,raîa,KM -> FR,R
adolescence,ushaɓaɓi,FR -> KM,A
adolescence (chez la femme),undru wa mararudjuu,FR -> KM,A
adolescent,shaɓaɓi; fihitsi,FR -> KM,A
adolescent (chez la femme),mndru wa mararudjuu,FR -> KM,A
adoptif,nkambo; nkaɓu,FR -> KM,A
adoucir,lainisha (u-),FR -> KM,A
adoucir; rendre lisse,lainisha (u-),KM -> FR,L
adulte,guzi; mdaɗe,FR -> KM,A
adulte (être-),ɓalighi (u-),FR -> KM,A
adultère,zina,FR -> KM,A
adéquat,mufiɗu,FR -> KM,A
affaiblir,ledjea (u-),FR -> KM,A
affaire,shuhuli; haɓari,FR -> KM,A
affaire; occupation; fête; festivité; mariage,shuhuli,KM -> FR,S
affairement,mbwiri,FR -> KM,A
affairer (s'-),shapiha (u-),FR -> KM,A
affairer (s'-); occuper (s'-),shapiha (u-),KM -> FR,S
affecter,sikitisha (u-),FR -> KM,A
affecter; chagriner,sikitisha (u-),KM -> FR,S
affection,nyandzo; mahaba,FR -> KM,A
affiche,ilani,FR -> KM,A
affliction,djuɗi,FR -> KM,A
affliction; chagrin; souci; tristesse,djuɗi,KM -> FR,D
affolement,uhafilifu,FR -> KM,A
affoler,djusa muo (u-); hafilisha (u-),FR -> KM,A
affoler; rendre fou (litt. lever le cœur),djusa muo (u-),KM -> FR,D
affolé (pers.),mhafilifu,FR -> KM,A
affolé (être -),hafiliha (u-),FR -> KM,A
affront,ziɓwii; ncamwa,FR -> KM,A
affront (faire un -),nakisi (u-),FR -> KM,A
affronter,kaɓili (u-); kingia (u-),FR -> KM,A
affronter; diriger vers; tourner vers,kaɓili (u-),KM -> FR,K
affronter; endurer,kingia (u-),KM -> FR,K
afin de,ile,FR -> KM,A
afin que,pare; ili,FR -> KM,A
afin que; pour que,ili,KM -> FR,I
africain,mmrima,FR -> KM,A
Afrique,Afrika; Murima,FR -> KM,A
Afrique du Sud,Afrika Ya Kusini,FR -> KM,A
agave,kitsani,FR -> KM,A
agence,iɗara,FR -> KM,A
agenouiller,sudjuɗia (u-),FR -> KM,A
agenouiller; prosterner,sudjuɗia (u-),KM -> FR,S
agent commercial du transport,disho,FR -> KM,A
agent du palais,mna-djumɓe,FR -> KM,A
aggraver,zorosa (u-),FR -> KM,A
agile,-hodari,FR -> KM,A
agile; fort; intelligent; habile,-hodari,KM -> FR,H
agitateur,pinɗuzi,FR -> KM,A
agitation,taharaki,FR -> KM,A
agiter,raraya (u-); tsuha (u-),FR -> KM,A
agiter; secouer,tsuha (u-),KM -> FR,T
agneau,mna-gondzi,FR -> KM,A
agoniser (en s'agitant de tout son corps),tapala (u-); ɓaɓada (u-),FR -> KM,A
agoniser (en s'agitant de tout son corps); ballotter; surmener,tapala (u-),KM -> FR,T
agrafe,kulabu,FR -> KM,A
agrandir,letsa (u-),FR -> KM,A
agrandir; tendre,letsa (u-),KM -> FR,L
agresser,vamia (u-),FR -> KM,A
agresseur,mvamizi,FR -> KM,A
agriculture,ɗima; ulimadji; ndrima,FR -> KM,A
agréable (goût),ladha; lada,FR -> KM,A
agrément,lada,FR -> KM,A
aide,msaâɗa; musada,FR -> KM,A
aider,saiɗia (u-); umɓisa (u-); vidza (u-),FR -> KM,A
aider; assister,vidza (u-),KM -> FR,V
aider; secourir,umɓisa (u-),KM -> FR,U
aigle,khwezi; bunɗi,FR -> KM,A
aigle; épervier,khwezi,KM -> FR,K
aigrir,tahayari (u-),FR -> KM,A
aiguille,sindzanu,FR -> KM,A
aiguiser,nua (u-); sudza (u-),FR -> KM,A
aiguiser; limer,nua (u-),KM -> FR,N
aile,piho; ɓawa,FR -> KM,A
ailleurs,ndze,FR -> KM,A
aimant,asmaku; simaku,FR -> KM,A
aimer,pvendza (u-); andza (u-); vendza (u-),FR -> KM,A
aimer l'un l'autre,vendzana (u-),FR -> KM,A
aimer; faire exprès; préférer,pvendza (u-),KM -> FR,P
ainsi,yapvo; apvo,FR -> KM,A
air,hawa,FR -> KM,A
air; atmosphère,hawa,KM -> FR,H
aisance,masterehe,FR -> KM,A
aise (être à l'-),sterehi (u-),FR -> KM,A
aisselle,kapwa,FR -> KM,A
ajourner,udza (u-),FR -> KM,A
ajourner; vendre; empêcher ; arrêter,udza (u-),KM -> FR,U
ajourné (être -),udziwa (u-),FR -> KM,A
ajouter,endjeza (u-); engedza (u-),FR -> KM,A
ajouter (s' -),engedzeha (u-),FR -> KM,A
ajouter (s' -); élargir (s'-),engedzeha (u-),KM -> FR,E
ajuster,linga (u-),FR -> KM,A
ajuster; assortir,linga (u-),KM -> FR,L
albinos,shema; shana,FR -> KM,A
alcool,alikoli,FR -> KM,A
algie,mshipa,FR -> KM,A
algue,jani,FR -> KM,A
aligner,ɗundzanya (u-); linganyisa (u-); linganisa (u-),FR -> KM,A
aligner (s'-),lingana (u-),FR -> KM,A
aligner; mettre en rang,linganisa (u-),KM -> FR,L
aliment,zio,FR -> KM,A
aliment; nourriture,zio,KM -> FR,Z
alimentation,mlo; mliso,FR -> KM,A
allaiter,hamsa (u-),FR -> KM,A
allemand,mDaci; shiDjeremani; muDjeremani,FR -> KM,A
aller,enɗa (u-); endra (u-),FR -> KM,A
aller de-ci de-là,fuhafuha (u-),FR -> KM,A
aller ensemble,zungulihana (u-),FR -> KM,A
"aller à pieds, marcher",endra (u-) ha mindru,FR -> KM,A
aller; marcher; fonctionner,enɗa (u-),KM -> FR,E
allergie,miko,FR -> KM,A
allonger,lala (u-); omboa (u-); ondza (u-),FR -> KM,A
allongé (être -),omboha (u-),FR -> KM,A
allongé (être -); dresser (se -),omboha (u-),KM -> FR,O
allons,narenɗe !,FR -> KM,A
allumage,mpatso,FR -> KM,A
allumer,patsa (u-); vudza (u-),FR -> KM,A
allumette,iɓiriti; shiɓiriti,FR -> KM,A
allumeur,ipatso,FR -> KM,A
allumeur; interrupteur,ipatso,KM -> FR,I
allure,djenɗo,FR -> KM,A
allé chercher,roshea (u-),FR -> KM,A
alléger,angupva (u-),FR -> KM,A
aloe vera,kononɗe; shizia mlili; konyoɗe,FR -> KM,A
alors,wadjau; halafu,FR -> KM,A
alors; puis,halafu,KM -> FR,H
aloès,kitani,FR -> KM,A
alphabet,alifuɓe,FR -> KM,A
alphabétiser,alfuɓesha (u-),FR -> KM,A
aluminium,garando,FR -> KM,A
amadouer,fwaria (u-),FR -> KM,A
amande (gage de paiement),mau,FR -> KM,A
amande (gage de paiement); amende,mau,KM -> FR,M
amant(e),hawara,FR -> KM,A
amant(e); maîtresse,hawara,KM -> FR,H
amarante (folong),debere,FR -> KM,A
amarrer,fungatsa (u-),FR -> KM,A
amas,pumɓa; ɓunku; gudza,FR -> KM,A
ambassadeur,ɓalozi,FR -> KM,A
amberique,ntsandzi; tsandzi,FR -> KM,A
ambiance,shime; ɓashasha; mshago,FR -> KM,A
ambiguïté,tahaludhi,FR -> KM,A
ambitionner,kusuɗi (u-),FR -> KM,A
ambitionner; faire exprès,kusuɗi (u-),KM -> FR,K
ambre,amɓari,FR -> KM,A
ambrevade,ntsuzi; tsuzi,FR -> KM,A
amende,mau; shinye,FR -> KM,A
amende (divorce),kulô,FR -> KM,A
amener,ɓalia (u-),FR -> KM,A
amer,nyungo; nyongo,FR -> KM,A
ami,mwandzani; munyawe,FR -> KM,A
amitié,uwandzani,FR -> KM,A
amnistier,swamili (u-),FR -> KM,A
amoindrir,shashiza (u-),FR -> KM,A
amollir,rembedza (u-),FR -> KM,A
amollir (s'-),rembea (u-),FR -> KM,A
amour,nyandzo; mahaba; pendo; mahaɓa; pendzo,FR -> KM,A
amour-propre,kirahi,FR -> KM,A
amour; affection,nyandzo,KM -> FR,N
amour; sentiment,mahaɓa,KM -> FR,M
amoureux,mhimbi,FR -> KM,A
ampleur,upezo,FR -> KM,A
ampoule,taya; ampulu,FR -> KM,A
ampoule (aux mains),truhu,FR -> KM,A
ampoule; lampe,taya,KM -> FR,T
amulette,hirizi,FR -> KM,A
amusement,urembo,FR -> KM,A
amuser,sakariha (u-); angadza (u-),FR -> KM,A
Amérique,Marekani,FR -> KM,A
an,mwaha,FR -> KM,A
an; année; âge,mwaha,KM -> FR,M
anacardier,mbibo; mkoroshe,FR -> KM,A
anacardier ,mkoroshe,KM -> FR,M
analyse,mtsantsauo,FR -> KM,A
analyser,tafiti (u-); tsantsaua (u-),FR -> KM,A
analyser; rechercher,tafiti (u-),KM -> FR,T
ananas,mnanasi; nanasi,FR -> KM,A
ancre (navire),nanga,FR -> KM,A
ancêtre (d'une lignée),koo; djaɗi,FR -> KM,A
anecdote,kiswa,FR -> KM,A
anecdote; revanche; vengeance,kiswa,KM -> FR,K
anesthésier,leza (u-),FR -> KM,A
ange,ɗaika,FR -> KM,A
anglais,shiNgereza; muNgereza,FR -> KM,A
anglais (pers.),mngereza,FR -> KM,A
angle,mbeɓe; mpemɓe,FR -> KM,A
angle; coin,mbeɓe,KM -> FR,M
angoisse,harara,FR -> KM,A
anguille,mhungu; muhunga; mhunga,FR -> KM,A
animal,inyama; shinyama,FR -> KM,A
animateur,mshangirizi,FR -> KM,A
animateur de soirée,mɓasha,FR -> KM,A
animateur; supporteur,mshangirizi,KM -> FR,M
animer,ɓasha (u-),FR -> KM,A
Anjouan,Ndzuani,FR -> KM,A
anjouanais,shiNdzuani; mNdzuani,FR -> KM,A
anneau,mbere,FR -> KM,A
anneau; bague,mbere,KM -> FR,M
annonce,mdjulizo,FR -> KM,A
annulaire (doigt),sha ya pere,FR -> KM,A
annulation,mfutro,FR -> KM,A
annuler,futra (u-),FR -> KM,A
annuler; éliminer,futra (u-),KM -> FR,F
année,mwaha,FR -> KM,A
année dernière,mwaha djana,FR -> KM,A
année prochaine,mwahani,FR -> KM,A
anse,kio,FR -> KM,A
anéantir,angamia (u-),FR -> KM,A
anéantissement,uangamivu,FR -> KM,A
anémier,jelea (u-),FR -> KM,A
anémier; être faible,jelea (u-),KM -> FR,J
août,Utu,FR -> KM,A
apaiser,truliza (u-),FR -> KM,A
apaiser; calmer (faire -),truliza (u-),KM -> FR,T
apercevoir,hitsili (u-),FR -> KM,A
aplatir,malala (u-); teresa (u-),FR -> KM,A
aplatir; terrasser,teresa (u-),KM -> FR,T
aplatissement,mmalazo,FR -> KM,A
aplomb,maswa,FR -> KM,A
apparaître,pvenuha (u-); dhwahiri (u-),FR -> KM,A
apparence,surwaya; surwa,FR -> KM,A
apparent,dhwahiri; -pvenufu,FR -> KM,A
apparent; claire,-pvenufu,KM -> FR,P
apparition,mwoniho; mpvenuho,FR -> KM,A
appartement,ɗaho; nɗani; ɗago; ndrani,FR -> KM,A
appauvrir,faitisha (u-),FR -> KM,A
appel,mparo,FR -> KM,A
appel à la prière,adhan,FR -> KM,A
appeler,para (u-); ira (u-); hira (u-),FR -> KM,A
appeler (s'-),parana (u-); hiriwa (u-); hirwa (u-),FR -> KM,A
appeler à la prière,adhini (u-),FR -> KM,A
appeler; avoir; trouver; obtenir; créditer,para (u-),KM -> FR,P
applaudir,rema kotsi (u-),FR -> KM,A
applaudissement,kotsi; sama,FR -> KM,A
appliquer,ɓaganisa (u-),FR -> KM,A
apporter,ɓalia (u-); vinga (u-); pvinga (u-),FR -> KM,A
apporter à,veleshea (u-); vingia (u-),FR -> KM,A
apporter; conduire,pvinga (u-),KM -> FR,P
apporter; emmener; porter,vinga (u-),KM -> FR,V
apprendre,soma (u-); funɗishia (u-); fundrisa (u-),FR -> KM,A
apprendre; enseigner; faire apprendre,fundrisa (u-),KM -> FR,F
approche !,kariɓu,FR -> KM,A
approcher,tsengelea (u-),FR -> KM,A
approcher (discrètement),kukulia (u-),FR -> KM,A
approcher (s'-),tsengelea (u-); kariɓu (u-); kuruɓia (u-); djelea (u-); tsengea (u-),FR -> KM,A
approcher pour combattre,temegea (u-),FR -> KM,A
approcher; approcher (s'-),tsengelea (u-),KM -> FR,T
approprier (s'-),djimilikisha (u-); miliki (u-),FR -> KM,A
apprêter à,pania (u-),FR -> KM,A
appui,simɓishio,FR -> KM,A
appuyer,simɓishia (u-); sinya (u-),FR -> KM,A
appuyer (s'-),wamia (u-),FR -> KM,A
appât,shamɓo; travo,FR -> KM,A
après,ɓaȃɗa; nyuma; isa,FR -> KM,A
après ça,nyuma ya,FR -> KM,A
après-demain,ushao; ɓada-meso,FR -> KM,A
après-midi,djio; mutsana,FR -> KM,A
après-midi (dans l'-),ujoni,FR -> KM,A
arabe,shiAraɓu; mwAraɓu,FR -> KM,A
Arabie,Araɓu,FR -> KM,A
arachide (plant.),mdjugu; mudjugu,FR -> KM,A
araignée,ɓwibwi; shitrandrabwibwi; trandra marandre,FR -> KM,A
arbitrage,mreso; unamuzi,FR -> KM,A
arbitraire,mdhulumifu,FR -> KM,A
arbitraire; injuste (pers.),mdhulumifu,KM -> FR,M
arbitre,mresadji,FR -> KM,A
arbre,mri; mwiri; muri,FR -> KM,A
arbre à cornichons,mhadju,FR -> KM,A
arbre à pain,mfuriapa; muframpe,FR -> KM,A
arbre; bois,mwiri,KM -> FR,M
arbre; bois; branche,mri,KM -> FR,M
arbuste jasmin,mwâfu,FR -> KM,A
"Arbuste, sorte de mimosa à fleurs odorantes",mufumgu,FR -> KM,A
arc,utra,FR -> KM,A
arc-en-ciel,mukakamba; mziankamba; ulime wa masera,FR -> KM,A
ardoise,ɓao,FR -> KM,A
argent,pesa; marike; mpesa,FR -> KM,A
argent (monnaie),fedha,FR -> KM,A
argent (métal),fedha,FR -> KM,A
argent (métal); argent (monnaie),fedha,KM -> FR,F
argent (unité de compte),riali,FR -> KM,A
argent (unité de compte); rial,riali,KM -> FR,R
argile blanche,kawe,FR -> KM,A
argile rouge,ɗongo,FR -> KM,A
arguer,gongeana fikra (u-),FR -> KM,A
argument,maoni,FR -> KM,A
argumenter,shinɗana (u-),FR -> KM,A
argumenter; débattre; disputer (se -),shinɗana (u-),KM -> FR,S
aristocrate,kaɓaila,FR -> KM,A
arme à feu,mzinga,FR -> KM,A
armoire,biro,FR -> KM,A
armée,djeshi,FR -> KM,A
arnaquer (se faire -),ravwa (u-),FR -> KM,A
arpenteur,mpvimadji,FR -> KM,A
arquer,limba (u-),FR -> KM,A
arracher,pua (u-); foɓoa (u-); vagua (u-),FR -> KM,A
arracher énergiquement,hashua (u-),FR -> KM,A
arracher; enlever; ôter,pua (u-),KM -> FR,P
arrangement,mkarakara; mlekezo,FR -> KM,A
arrangement; réglage,mlekezo,KM -> FR,M
arranger,lekeza (u-); rengeledza (u-); lekedza (u-),FR -> KM,A
arranger (s'-),rengelea (u-),FR -> KM,A
arranger; réparer,rengeledza (u-),KM -> FR,R
arriver,waswili (u-); wasili (u-),FR -> KM,A
arriver à temps,wahi (u-),FR -> KM,A
arrière,ɗingo,FR -> KM,A
arrière grand-mère,dada,FR -> KM,A
arrière-arrière-arrière-petit-enfant,shikaɗonɗo,FR -> KM,A
arrogance,kiɓuri; udjonefu; fudhuli,FR -> KM,A
arrogance; orgueil,udjonefu,KM -> FR,U
arrogant,tale; mdjonefu; mtezefu-sheri,FR -> KM,A
arrondir,ɗiwarisha (u-),FR -> KM,A
arrêter,udza (u-); zia (u-),FR -> KM,A
arrêter de têter,funga dziya (u-),FR -> KM,A
arrêter; retenir,zia (u-),KM -> FR,Z
art,swanaa,FR -> KM,A
art de l'éloquence,ufaswaha,FR -> KM,A
art de l'éloquence; rhétorique,ufaswaha,KM -> FR,U
art; artisan,swanaa,KM -> FR,S
article de loi,kanuni,FR -> KM,A
article de presse,nakala,FR -> KM,A
articulation,shifungo; ningo,FR -> KM,A
articulation; membre,ningo,KM -> FR,N
articulations,mbinguo,FR -> KM,A
articulations ,mbinguo,KM -> FR,M
artisan,swanaa; fundi; sarumaya,FR -> KM,A
artisant,sarmaya,FR -> KM,A
artère,mzi,FR -> KM,A
aréquier,mpvopvoo,FR -> KM,A
arête,muɓa,FR -> KM,A
as,re,FR -> KM,A
ascendance,uzale,FR -> KM,A
ascendance maternelle,inya,FR -> KM,A
ascension du Prophète,Miradji,FR -> KM,A
ascension du Prophète; Miraj; Radjab,Miradji,KM -> FR,M
aspect,surwaya,FR -> KM,A
aspect; apparence,surwaya,KM -> FR,S
aspirer,vura (u-),FR -> KM,A
assaisonner,unga (u-),FR -> KM,A
assassin,katili,FR -> KM,A
assembler,tsanganya (u-),FR -> KM,A
assembler; regrouper,tsanganya (u-),KM -> FR,T
assemblée (chambre des députés),ɓaraza,FR -> KM,A
assemblée (groupe de personne),djamaa,FR -> KM,A
assemblée (groupe de personne); société; famille,djamaa,KM -> FR,D
asseoir (s'-),kantsi (u-); ketsi (u-); kentsi (u-),FR -> KM,A
asservir,kaɗamiza (u-),FR -> KM,A
assez,kiasi,FR -> KM,A
assiette,sahani; shanu; isahani; shano,FR -> KM,A
assiette (petite -),isahani,FR -> KM,A
assiette; assiette (petite -),isahani,KM -> FR,I
assiette; vaisselle,shanu,KM -> FR,S
assise,mkontsi,FR -> KM,A
assistance,msaâɗa; muumɓiso,FR -> KM,A
assistance; secours,muumɓiso,KM -> FR,M
assistant,msaiɗizi,FR -> KM,A
assister,vidza (u-),FR -> KM,A
association,shama; cama,FR -> KM,A
association; club; équipe,cama,KM -> FR,C
associer,shirikiana (u-),FR -> KM,A
assommer,vuɓamisa (u-); ɓamisa (u-),FR -> KM,A
assortir,linga (u-),FR -> KM,A
assoupir,ɗema (u-),FR -> KM,A
assumer,gaɓili (u-),FR -> KM,A
asthme,pefu,FR -> KM,A
astiquer,shugua (u-),FR -> KM,A
astrologue,mwalimu,FR -> KM,A
astuce,makri,FR -> KM,A
astuce; ruse; Complot ,makri,KM -> FR,M
atchoumer,sammwa (u-),FR -> KM,A
atelier,shiwanɗa,FR -> KM,A
atmosphère,hawa,FR -> KM,A
atout (jeu de cartes),turufu,FR -> KM,A
atrocité,mkaswa,FR -> KM,A
attache,mfungo,FR -> KM,A
attacher,funga (u-),FR -> KM,A
attacher; lier; jeûner; emprisonner; nouer,funga (u-),KM -> FR,F
attaque,shamɓulio,FR -> KM,A
attaquer,shamɓulia (u-),FR -> KM,A
attarder,homa (u-); tavela (u-),FR -> KM,A
attarder; mettre longtemps,tavela (u-),KM -> FR,T
attarder; être en retard,homa (u-),KM -> FR,H
atteindre (qqch.),pvemɓea (u-),FR -> KM,A
atteindre la maturité,dzinya (u-),FR -> KM,A
atteindre la maturité; mûrir,dzinya (u-),KM -> FR,D
attendre,hima (u-); linɗa (u-); midza (u-); lindra (u-),FR -> KM,A
attente,mlinɗio,FR -> KM,A
attention,hala-hala; hala,FR -> KM,A
attention !,fahamu !,FR -> KM,A
attention !; fais gaffe ! ,fahamu !,KM -> FR,F
attention (faire -),tahadhari (u-); fahamu (u-),FR -> KM,A
attention (faire -); méfier,tahadhari (u-),KM -> FR,T
attier,mkonokono,FR -> KM,A
attirer,zaini (u-),FR -> KM,A
attirer; influencer,zaini (u-),KM -> FR,Z
attraper,gamatra (u-); ankulia (u-); hankulia (u-),FR -> KM,A
attrister,tria hamu (u-),FR -> KM,A
attrister; manquer,tria hamu (u-),KM -> FR,T
attroupement,kungumanyo; sindzo,FR -> KM,A
attroupement; conférence; organisation,kungumanyo,KM -> FR,K
au,ho-,FR -> KM,A
au bout,co,FR -> KM,A
au ciel,djaragani,FR -> KM,A
au ciel; aux cieux,djaragani,KM -> FR,D
au large (mer),maze,FR -> KM,A
au lieu de,raha na; ɓadala ya,FR -> KM,A
au milieu de,harimwa,FR -> KM,A
au moyen de,ha,FR -> KM,A
au Nord,kibulani,FR -> KM,A
au sujet de,uhusu,FR -> KM,A
au-dessous,utsini,FR -> KM,A
au-revoir,kwaheri; lala-unono,FR -> KM,A
aube,alfadjiri; asuɓuhi,FR -> KM,A
aubergine,ɗemba; bengani; ɓilingani,FR -> KM,A
aucun,ko; kapvu,FR -> KM,A
aucun; viens,ko,KM -> FR,K
aucun; zéro; rien,kapvu,KM -> FR,K
audace,maswa,FR -> KM,A
audace; culot; aplomb,maswa,KM -> FR,M
audacieux,sudjaâ; kari-ndrongo,FR -> KM,A
auditeur,mwishilizi,FR -> KM,A
augmenter,engedza (u-),FR -> KM,A
augmenter; ajouter,engedza (u-),KM -> FR,E
aujourd'hui,lelo; leo,FR -> KM,A
aumône,zaka; sadaka; tasadaki,FR -> KM,A
auparavant,kaɓulia,FR -> KM,A
aura,uvuhuri,FR -> KM,A
auriculaire (doigt),sha ya pwitsi,FR -> KM,A
aussi,wadjau; wajau,FR -> KM,A
aussi; ensuite; alors; puis,wadjau,KM -> FR,W
aussitôt,kamwe,FR -> KM,A
auteur,mwandzishi; mwangisi,FR -> KM,A
auteur; écrivain,mwandzishi,KM -> FR,M
authentique,-a inswafi,FR -> KM,A
autochtone,mtoro,FR -> KM,A
autonome,-kinaivu,FR -> KM,A
autonome (pers.),mdjitosho,FR -> KM,A
autorisation,ruhusa,FR -> KM,A
autorisation; permission,ruhusa,KM -> FR,R
autoriser,ruhusu (u-),FR -> KM,A
autoriser; permettre,ruhusu (u-),KM -> FR,R
autorité,furswa,FR -> KM,A
autorité administratif,ezi,FR -> KM,A
autorité administratif; pouvoir (le),ezi,KM -> FR,E
autorité; possibilité; occasion; opportunité ,furswa,KM -> FR,F
autre,-asaya; -ndrwadjina; -angina,FR -> KM,A
autrefois,zamani,FR -> KM,A
autruche,mɓuni,FR -> KM,A
aux cieux,djaragani,FR -> KM,A
auxiliaire verbal,isaiɗio sha zitrenɗwa; shisaiɗio sha zitrenɗwa,FR -> KM,A
avaler,meza (u-); medza (u-),FR -> KM,A
avancer,trenɗe (u-); endra (u-) mbeli,FR -> KM,A
avant,kaɓla,FR -> KM,A
avant-goût,cezo ɓoneso,FR -> KM,A
avant-goût ; bande-annonce ,cezo ɓoneso,KM -> FR,C
avant-hier,djuzi; vozuzi; zuzi; pvodjuzi,FR -> KM,A
avantage,manufaâ,FR -> KM,A
avantage; profit,manufaâ,KM -> FR,M
avantager,vendzelea (u-),FR -> KM,A
avantages,manufa,FR -> KM,A
avare,muɓahilifu; ɓaruzuli,FR -> KM,A
avarice,uɓahilifu; uɓaruzuli,FR -> KM,A
avec,na,FR -> KM,A
avenir (demander l'- ),sahili (u-),FR -> KM,A
avertir,fahamisha (u-),FR -> KM,A
avertir; mettre en garde,fahamisha (u-),KM -> FR,F
aveugle,mfumatso,FR -> KM,A
aveugler,zusa (u-),FR -> KM,A
avide,ndzahu; mpupa,FR -> KM,A
avidité,upupa; undzahu,FR -> KM,A
